userId,movieId,rating,timestamp
0,0,4.0,964982703
0,2,4.0,964982224
0,14,5.0,964983815
0,16,5.0,964982931
0,18,3.0,964982400
0,21,4.0,964982176
0,30,5.0,964983650
0,36,3.0,964980985
0,37,5.0,964981179
0,38,4.0,964980908
0,40,5.0,964981680
0,45,3.0,964982967
0,47,3.0,964982310
0,54,4.0,964982563
0,57,4.0,964980962
0,60,4.0,964981710
0,73,5.0,964981909
0,76,4.0,964982346
0,78,3.0,964981208
0,82,5.0,964984002
0,86,4.0,964982653
0,87,5.0,964984153
0,93,4.0,964982546
0,94,4.0,964982271
0,95,4.0,964983793
0,98,5.0,964982838
0,100,5.0,964982931
0,101,3.0,964982563
0,103,4.0,964982400
0,104,3.0,964982653
0,107,3.0,964984086
0,114,5.0,964982475
0,115,5.0,964981529
0,121,5.0,964981680
0,123,5.0,964981327
0,124,5.0,964982951
0,125,4.0,964984018
0,126,5.0,964981680
0,128,4.0,964982513
0,129,5.0,964981327
0,132,5.0,964981827
0,133,5.0,964981872
0,134,5.0,964981827
0,139,5.0,964983737
0,141,4.0,964983250
0,142,5.0,964980499
0,143,5.0,964982951
0,144,4.0,964981855
0,145,2.0,964983393
0,146,5.0,964981909
0,148,5.0,964981909
0,152,5.0,964983723
0,156,3.0,964983414
0,158,4.0,964983599
0,159,5.0,964983705
0,161,5.0,964983414
0,163,5.0,964981909
0,170,3.0,964982653
0,179,4.0,964980985
0,180,5.0,964981107
0,183,4.0,964982620
0,184,5.0,964982290
0,185,3.0,964981125
0,189,5.0,964982951
0,190,5.0,964983504
0,194,3.0,964982620
0,198,5.0,964981125
0,199,4.0,964981230
0,203,5.0,964982176
0,207,4.0,964982211
0,208,5.0,964981710
0,211,4.0,964984176
0,212,4.0,964981888
0,213,4.0,964981747
0,214,5.0,964982838
0,217,5.0,964982529
0,219,4.0,964981680
0,221,4.0,964982989
0,222,5.0,964983664
0,226,5.0,964983263
0,227,5.0,964983861
0,229,5.0,964981093
0,231,4.0,964982310
0,232,5.0,964982588
0,233,5.0,964981278
0,234,5.0,964982242
0,235,5.0,964981265
0,236,5.0,964981888
0,237,2.0,964982588
0,238,4.0,964980523
0,239,4.0,964982377
0,240,3.0,964983426
0,243,5.0,964981855
0,244,5.0,964980985
0,249,5.0,964983414
0,252,4.0,964981710
0,254,5.0,964980868
0,255,4.0,964982290
0,257,5.0,964982176
0,258,5.0,964983282
0,259,4.0,964983034
0,260,5.0,964982495
0,261,4.0,964980896
0,262,5.0,964983762
0,263,5.0,964981208
0,266,5.0,964983873
0,269,5.0,964981107
0,274,4.0,964981775
0,275,4.0,964982271
0,277,5.0,964980668
0,279,5.0,964981589
0,283,5.0,964981855
1,8,3.0,986935199
1,10,2.0,945173447
1,14,2.0,945173425
1,38,2.0,945173513
1,40,5.0,945079259
1,45,1.0,945173350
1,58,3.0,964623306
1,61,4.0,945078690
1,73,5.0,945079259
1,80,1.0,945079106
1,83,1.0,964538832
1,87,2.0,945079301
1,91,4.0,945079670
1,95,5.0,964539986
1,97,3.0,986848609
1,100,5.0,964540008
1,101,3.0,945079906
1,111,4.0,945079837
1,112,5.0,945173902
1,113,5.0,945173902
1,114,5.0,945079521
1,121,4.0,945079483
1,122,2.0,945078946
